                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2013


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.4   25.7  12:55    7.6  23:15    2.0    0.0    0.0   15.2   34.6  13:00    323
 02   10.5   18.1  13:00    5.1  06:05    7.9    0.0    0.0   32.0   61.2  12:20    324
 03    9.5   13.3  13:40    6.7  04:50    8.9    0.0    0.0   36.7   60.1  11:40    315
 04   10.4   14.4  14:35    7.4  04:55    7.9    0.0    0.0   34.3   54.4  11:40    312
 05    9.8   14.4  14:30    4.8  00:00    8.5    0.0    0.0   21.5   41.0  01:35    296
 06   10.3   18.8  14:30    2.7  02:50    8.0    0.0    0.0   15.3   24.1  13:45    316
 07   12.8   21.2  14:05    7.1  02:00    5.6    0.0    0.2   11.8   24.5  14:15    298
 08   11.6   19.4  12:10    7.3  23:20    6.7    0.0    8.3   18.2   51.8  11:15    275
 09    6.4   10.2  13:10    2.1  19:20   12.0    0.0    0.5   17.2   54.0  01:30    244
 10    8.5   16.0  14:55    1.1  02:05    9.9    0.0    0.0   19.8   37.4  13:55    327
 11   14.8   21.0  13:40    6.3  02:10    3.5    0.0    0.0   26.8   45.0  13:50    323
 12   16.8   22.4  14:40   11.7  05:35    1.5    0.0    0.0   27.2   46.8  10:25    325
 13   13.5   18.4  13:45    7.2  23:35    4.8    0.0    0.0   16.1   38.2  11:25    297
 14   11.2   16.9  14:25    5.9  06:10    7.1    0.0    0.0   22.1   46.4  11:05    303
 15   10.0   14.2  14:05    6.3  03:20    8.3    0.0    0.0   24.9   43.9  10:15    288
 16   10.0   16.3  13:25    3.8  07:20    8.3    0.0    0.0   11.5   19.4  14:00    301
 17   11.3   18.0  14:00    5.0  05:55    7.1    0.0    0.0   10.3   19.1  01:50     49
 18   14.8   22.3  15:15    4.4  05:30    3.6    0.0    0.0   26.0   56.5  13:50    333
 19   14.3   18.7  10:10    8.9  23:55    4.1    0.0    0.0   17.8   44.3  04:30    293
 20   11.3   20.1  14:55    6.5  07:50    7.1    0.0    0.0    8.1   14.8  23:45    313
 21   16.8   25.5  14:40    7.9  07:05    1.5    0.0    0.0   24.6   53.3  15:45    344
 22   10.3   14.1  12:00    6.3  22:15    8.1    0.0    0.0   16.3   30.6  01:40    218
 23   15.0   24.4  15:05    6.5  05:25    3.3    0.0    0.0   15.9   47.9  15:35    343
 24   18.5   24.6  14:20   12.8  05:10    0.0    0.2    0.0   21.5   45.7  11:30    345
 25   16.5   22.7  13:45    9.7  07:15    1.8    0.0    0.0   17.7   40.7  02:50    300
 26   10.8   15.6  15:10    6.0  23:40    7.5    0.0    0.0   18.6   36.7  13:10    295
 27    7.7   13.4  11:45    1.8  07:30   10.6    0.0    0.0   19.0   32.0  13:30    297
 28    9.3   16.1  13:55    4.2  06:25    9.1    0.0    0.0   10.8   17.6  00:05    355
 29   10.8   18.3  14:50    6.0  06:10    7.6    0.0    0.0   12.9   26.3  12:40    301
 30   10.3   17.4  13:15    4.5  06:10    8.0    0.0    0.1    8.1   20.2  19:30    259
---------------------------------------------------------------------------------------
      12.0   25.7     01    1.1     10  190.1    0.2    9.1   19.3   61.2     02    311
    
