                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2016


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.0   27.5  14:15   14.7  22:40    0.0    1.7    0.0   16.3   32.8  11:55    311
 02   15.6   20.0  13:50   12.7  19:55    2.8    0.0    0.0   11.2   21.6  16:00    114
 03   15.1   22.0  11:50   11.1  23:35    3.2    0.0    0.0   18.2   42.1  17:00    247
 04   11.1   15.4  12:50    6.7  23:15    7.3    0.0    0.0   13.3   24.8  10:45    223
 05   10.4   16.3  12:05    5.8  04:25    7.9    0.0    0.0    8.3   16.9  16:45    105
 06   12.8   21.9  15:20    4.0  07:35    5.5    0.0    0.0   12.1   29.2  14:05    295
 07   16.8   25.8  14:15    7.6  00:05    1.5    0.0    0.0   14.1   28.1  12:45    293
 08   18.4   25.0  14:25   12.2  05:55    0.0    0.1    0.0   17.2   35.3  14:30    316
 09   21.5   27.9  15:10   15.2  00:20    0.0    3.2    0.0   25.2   40.7  11:25    313
 10   13.6   22.7  00:45    7.7  23:45    4.8    0.0    0.1   21.7   50.4  23:25    243
 11    8.2   11.4  14:30    5.8  05:10   10.1    0.0    2.9   21.1   44.3  00:10    256
 12    8.9   13.3  14:55    4.7  07:20    9.4    0.0    0.0   14.5   32.4  12:25     59
 13   13.7   19.8  13:05    5.3  03:25    4.6    0.0    0.0   21.0   40.3  13:25    317
 14   12.7   16.0  15:00   10.2  08:25    5.6    0.0    0.2   18.1   33.5  13:45    295
 15   14.3   21.1  13:35    9.1  23:50    4.1    0.0    3.8   20.1   46.4  02:15    284
 16    9.6   14.2  15:05    3.7  22:30    8.7    0.0    0.0   15.8   32.0  11:45    255
 17    9.7   17.1  15:20    3.1  00:25    8.6    0.0    0.0   10.7   20.9  14:35    333
 18   14.9   21.9  13:20    9.4  00:15    3.4    0.0    0.0   16.7   33.1  11:15    292
 19   14.1   22.0  13:10    8.4  21:10    4.2    0.0    0.0   12.9   30.2  15:30    279
 20   11.5   17.3  13:35    7.9  23:20    6.8    0.0    0.0   18.7   33.1  14:40    266
 21    8.2   13.4  14:55    4.1  02:15   10.1    0.0    0.0   13.8   28.4  00:05    260
 22    9.6   16.4  15:10    3.9  02:50    8.8    0.0    0.0   10.2   22.0  20:20     35
 23   13.5   22.1  15:15    4.6  06:50    4.8    0.0    0.0   14.3   27.4  14:10    337
 24   15.6   24.8  13:55    8.0  23:25    2.7    0.0    0.0   15.7   32.8  03:20    303
 25   13.4   23.8  13:05    7.9  23:00    5.0    0.0    0.0   11.4   30.6  11:05    285
 26   17.0   24.6  14:05    8.0  00:15    1.4    0.0    0.0   23.4   42.5  22:20    321
 27   15.1   23.0  13:00    8.0  00:00    3.2    0.0    0.0   23.9   43.6  00:45    268
 28    8.5   13.7  14:40    4.5  22:45    9.9    0.0    0.0   14.7   27.4  03:40    238
 29    9.1   17.9  12:30    3.4  07:15    9.2    0.0    0.0   10.6   26.3  12:40    248
 30   15.5   23.9  14:15    4.8  00:10    2.8    0.0    0.0   22.3   44.3  21:40    330
---------------------------------------------------------------------------------------
      13.3   27.9     09    3.1     17  156.5    5.0    7.0   16.3   50.4     10    291
    
