                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2013


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   21.2   29.4  14:40   14.0  03:45    0.0    2.8    0.0   14.8   25.6  16:00     93
 02   22.2   30.9  12:50   15.8  05:10    0.0    3.8    0.5   12.8   24.5  14:15    207
 03   17.8   23.2  11:40   13.0  21:40    0.5    0.0   23.5   22.3   40.3  19:45    216
 04   14.6   18.5  13:50   11.0  22:45    3.7    0.0    0.0   12.3   22.7  17:00    195
 05   16.0   21.4  13:40   11.4  00:55    2.3    0.0    0.0   12.5   26.6  17:40    140
 06   17.7   24.6  14:15   12.9  05:50    0.6    0.0    0.0   11.3   28.4  16:30    161
 07   17.9   25.9  13:55   11.1  05:35    0.4    0.0    0.0   11.9   30.2  15:20    146
 08   19.3   25.4  13:50   14.0  04:30    0.0    0.9    0.4   15.3   28.1  17:25    133
 09   20.9   27.2  12:10   16.5  05:35    0.0    2.6   17.5   22.6   37.8  15:45    112
 10   21.0   31.1  13:20   16.7  23:45    0.0    2.7   40.1   14.7   68.4  14:45     66
 11   18.8   24.4  12:55   15.8  06:00    0.0    0.5    0.0   13.9   22.3  05:45    214
 12   20.0   26.4  14:15   15.4  05:10    0.0    1.7    0.0   14.4   28.4  16:20    143
 13   24.1   33.3  15:20   16.4  04:15    0.0    5.8    0.0    8.3   18.7  16:50    101
 14   19.5   25.2  01:10   14.8  23:55    0.0    1.1    0.0   22.7   37.1  07:25    216
 15   16.0   20.1  11:40   14.2  19:45    2.3    0.0    0.0   14.3   25.6  10:40    208
 16   18.3   23.7  13:15   14.6  00:05    0.0    0.0    0.0   19.9   32.8  09:30    110
 17   20.8   29.0  14:15   15.6  04:05    0.0    2.5    0.0   21.5   30.2  04:15     95
 18   26.5   36.9  15:35   18.0  00:05    0.0    8.1    0.3   18.4   31.7  08:40    301
 19   19.0   23.7  00:05   14.4  00:00    0.0    0.6   12.7   14.6   32.4  09:05    210
 20   14.6   19.6  14:20   11.0  07:50    3.8    0.0    0.0   27.4   50.8  10:45    242
 21   15.7   24.5  15:15    8.2  06:15    2.7    0.0    0.0   10.0   22.7  17:40     87
 22   17.8   26.5  14:20   11.0  04:05    0.5    0.0    0.0   11.1   25.9  17:45    223
 23   17.3   24.5  13:15   13.0  04:45    1.0    0.0    0.0   15.7   29.5  16:05    239
 24   18.0   26.8  13:45   10.7  04:05    0.3    0.0    0.0   10.7   22.0  14:45    249
 25   24.1   35.4  14:30   12.8  03:25    0.0    5.8    0.0   13.7   23.8  11:20     71
 26   22.6   28.3  13:40   15.2  23:35    0.0    4.3    0.2   18.6   32.0  08:55    219
 27   22.7   33.7  13:55   15.4  00:40    0.0    4.4   10.8   11.8   28.4  20:05    154
 28   15.4   19.6  10:10   12.3  19:05    2.9    0.0    0.0   22.3   32.4  10:15    207
---------------------------------------------------------------------------------------
      19.3   36.9     18    8.2     21   21.0   47.6  106.0   15.7   68.4     10    178
    
