                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2012


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   19.0   22.3  13:30   15.9  23:30    0.0    0.7   19.9   13.9   26.3  00:25    196
 02   15.9   16.5  11:05   14.7  23:15    2.4    0.0   14.4   17.1   27.0  20:55    138
 03   16.9   19.0  15:35   14.4  00:50    1.4    0.0   39.6   20.1   31.3  19:35    138
 04   16.6   19.0  15:25   15.0  07:35    1.7    0.0    9.9   18.0   33.1  00:40    189
 05   17.8   21.6  13:55   15.6  05:05    0.5    0.0    0.0   17.8   31.0  23:30    119
 06   21.1   27.4  14:35   16.8  03:00    0.0    2.7    0.0   22.2   32.8  03:35     89
 07   21.3   31.5  12:30   16.5  04:30    0.0    3.0    0.0   13.9   33.1  15:00    231
 08   19.3   24.7  14:25   16.6  20:25    0.0    1.0    0.0   13.6   25.9  17:00    202
 09   17.4   21.1  15:15   15.6  04:35    0.9    0.0    0.0   10.9   17.3  16:40    200
 10   15.0   18.7  13:05   12.4  23:55    3.3    0.0    0.0   19.6   28.4  23:35    220
 11   15.7   22.4  14:25   10.7  05:15    2.6    0.0    0.0   23.1   39.6  11:50    259
 12   15.7   22.7  12:45   10.3  04:10    2.7    0.0    0.0   15.6   31.3  15:30    246
 13   16.7   24.3  13:55    9.8  05:30    1.6    0.0    0.0   11.1   25.2  16:55    156
 14   17.1   21.5  12:25   13.7  23:55    1.2    0.0    0.0   13.7   24.8  16:55    178
 15   17.5   22.9  13:50   13.6  00:25    0.9    0.0    0.0   14.7   25.9  16:40    173
 16   21.0   29.2  14:35   16.3  02:30    0.0    2.6    0.0   13.4   26.6  17:40    151
 17   16.8   19.1  13:10   15.8  19:45    1.6    0.0    0.0   15.3   25.2  08:25    189
 18   17.2   21.0  13:35   15.5  03:45    1.1    0.0    0.0   19.5   30.2  22:25    114
 19   22.3   30.5  13:30   16.6  04:10    0.0    4.0    0.3   18.6   31.0  18:35     83
 20   23.9   33.6  13:35   17.4  22:25    0.0    5.6   24.7   20.3   41.0  08:55    288
 21   19.3   24.3  14:15   15.8  23:10    0.0    0.9    0.0   13.8   27.4  15:35    203
 22   20.8   30.7  13:55   14.8  01:45    0.0    2.4    0.0   17.9   37.1  18:45    252
 23   17.0   21.0  15:50   12.6  22:00    1.4    0.0    0.0   20.8   35.6  08:55    225
 24   18.4   27.8  15:05   11.7  04:25    0.0    0.1    0.0   10.7   26.3  17:05    180
 25   18.9   27.4  14:00   13.6  02:10    0.0    0.6    0.0   11.2   24.1  16:15    130
 26   19.9   27.9  12:40   13.9  01:20    0.0    1.6    0.0   10.6   23.0  13:05    131
 27   21.5   28.7  15:15   15.4  04:05    0.0    3.2    0.0   14.7   24.5  10:00    103
 28   24.2   36.0  12:45   16.4  21:10    0.0    5.9    0.1   22.9   40.0  08:45    282
 29   17.1   18.6  12:05   16.1  02:40    1.3    0.0    9.9   15.2   24.8  17:50    186
---------------------------------------------------------------------------------------
      18.7   36.0     28    9.8     13   24.6   34.3  118.7   16.2   41.0     20    175
    
