                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2015


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.2   28.8  14:20   14.9  01:00    0.0    1.9    0.0   15.0   31.7  02:50    131
 02   19.5   25.1  12:45   15.1  00:15    0.0    1.1    0.0   17.4   28.1  16:15    190
 03   19.5   23.7  13:10   15.2  23:55    0.0    1.2    0.0   12.6   22.7  14:50    140
 04   18.2   24.5  14:00   14.2  23:45    0.1    0.0    0.0   12.8   22.7  07:15    170
 05   20.3   28.9  12:20   12.9  03:25    0.0    2.0    0.0   15.6   31.7  14:00    208
 06   19.1   25.7  14:00   13.4  23:40    0.0    0.7    0.0   17.8   28.1  03:40    194
 07   20.6   28.7  15:10   12.1  04:50    0.0    2.2    0.3   15.3   29.9  08:05     74
 08   23.7   31.8  09:45   16.9  00:00    0.0    5.3    8.7   20.1   40.7  08:30    218
 09   16.9   19.7  14:55   15.4  08:05    1.4    0.0    0.0   16.9   27.0  00:20    122
 10   21.6   31.1  13:55   15.7  02:20    0.0    3.2    0.0   11.2   24.5  02:25     39
 11   20.7   25.8  13:10   18.5  05:30    0.0    2.4    0.0    6.8    6.8  00:05     44
 12   25.3   38.0  14:10   19.1  00:10    0.0    6.9    0.3    6.8    6.8  00:05    152
 13   18.6   20.6  13:45   17.3  22:40    0.0    0.2    7.8   11.7   21.6  18:45    141
 14   19.6   24.3  12:20   16.8  06:20    0.0    1.2    0.0   21.1   34.2  20:25     47
 15   23.8   36.5  15:25   17.6  04:15    0.0    5.4    0.8   14.8   42.5  16:35     21
 16   16.1   26.2  10:05   11.6  15:15    2.3    0.0   23.3   23.2   60.5  11:20    199
 17   15.0   20.5  14:45   11.1  06:05    3.3    0.0    0.0   14.6   28.8  00:50    179
 18   17.3   25.0  13:25   11.4  05:10    1.0    0.0    0.0   11.7   31.3  16:30    171
 19   15.5   19.9  14:05   13.2  20:25    2.9    0.0    0.0   17.6   26.6  06:05    185
 20   16.6   23.3  15:10   11.5  04:40    1.7    0.0    0.0   14.9   26.3  16:30     55
 21   19.1   27.0  13:45   11.0  03:10    0.0    0.8    0.0   16.1   35.3  17:15     42
 22   22.1   29.3  13:40   17.3  23:35    0.0    3.8    0.0   17.4   27.4  00:10     29
 23   22.1   30.5  13:45   15.3  05:20    0.0    3.7    0.0   10.5   25.2  18:45     58
 24   24.3   32.7  15:05   14.0  05:40    0.0    5.9    0.0   10.7   25.9  17:50     48
 25   24.1   28.7  15:10   19.5  21:20    0.0    5.8    0.6   14.4   24.8  17:55     74
 26   21.5   30.5  13:15   17.6  04:20    0.0    3.2   18.1   13.0   27.4  15:25    112
 27   17.2   18.3  00:05   15.8  20:00    1.1    0.0   21.3   13.5   24.1  14:20    161
 28   16.3   17.8  09:25   15.4  20:35    2.0    0.0    0.0   14.2   23.8  18:00     47
 29   19.9   26.5  14:20   15.0  02:00    0.0    1.6    0.0   18.4   28.4  21:30     20
 30   23.4   34.1  16:05   15.0  06:00    0.0    5.1    0.0    9.0   25.6  00:05    359
 31   17.1   22.8  12:25   14.1  23:55    1.2    0.0    0.5   17.9   31.0  20:20    192
---------------------------------------------------------------------------------------
      19.8   38.0     12   11.0     21   17.0   63.9   81.5   14.6   60.5     16    118
    
