                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2014


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   22.5   35.2  15:10   16.1  05:30    0.0    4.2    0.0   15.7   63.7  17:30     38
 02   18.2   22.9  14:20   14.4  23:05    0.1    0.0    0.0   16.5   31.7  06:10    220
 03   18.8   25.6  15:35   13.5  05:10    0.0    0.5    0.0   14.3   25.9  16:55    110
 04   22.7   31.7  16:20   16.3  06:10    0.0    4.4    0.0   12.2   28.8  20:45     35
 05   17.8   22.4  12:20   15.3  21:35    0.5    0.0    0.2   22.0   36.7  07:30    230
 06   17.5   20.1  16:40   15.4  03:50    0.8    0.0    7.8   17.0   27.0  21:50    139
 07   23.5   32.0  16:10   17.1  04:45    0.0    5.2    0.0   17.6   36.4  23:55     86
 08   17.6   22.5  13:50   13.7  22:40    0.7    0.0    0.0   20.3   42.8  02:00    221
 09   18.8   25.0  15:05   14.4  05:35    0.0    0.5    0.0    9.1   22.3  16:40    158
 10   19.4   25.2  13:00   13.9  05:45    0.0    1.1    0.0   12.2   26.3  16:00    130
 11   22.3   29.7  14:25   18.1  04:45    0.0    3.9    0.0   10.9   25.9  16:55    151
 12   23.4   31.2  14:40   18.8  00:50    0.0    5.1    0.2   12.7   25.9  19:10    138
 13   22.0   27.4  11:40   19.2  04:20    0.0    3.7    6.8   11.8   23.8  14:35    181
 14   20.7   25.3  14:35   18.5  02:25    0.0    2.4    0.0   13.3   26.6  00:55    140
 15   22.9   28.7  15:30   19.4  00:20    0.0    4.5    0.0   12.7   23.0  01:30    113
 16   21.2   25.4  15:05   18.9  00:00    0.0    2.9    0.0   14.1   30.2  22:25    129
 17   25.3   34.8  15:35   17.4  05:10    0.0    6.9    0.0   14.4   36.4  23:55    355
 18   22.7   27.0  13:10   20.3  23:55    0.0    4.4    0.5   17.7   32.4  00:05    231
 19   21.5   25.9  15:55   19.0  05:10    0.0    3.1   19.5   11.5   18.0  11:45    102
 20   17.6   20.5  01:25   14.5  18:30    0.8    0.0    0.3   22.2   34.6  05:50    226
 21   15.1   17.1  14:05   13.9  02:35    3.2    0.0   13.7   15.4   25.6  18:30    148
 22   18.9   25.6  15:35   13.8  06:00    0.0    0.6    0.0   14.5   25.9  08:30    102
 23   21.2   28.4  13:45   14.4  05:35    0.0    2.9    0.0   12.4   24.5  15:35    115
 24   18.1   25.6  13:00   14.3  00:00    0.2    0.0    0.2   13.7   47.2  14:55    169
 25   16.7   20.7  16:55   14.0  01:15    1.6    0.0    5.8   13.9   22.7  13:30    226
 26   18.7   24.9  15:55   14.0  03:50    0.0    0.4    0.0   15.9   36.4  23:10     92
 27   20.4   28.7  14:55   14.6  05:35    0.0    2.0    0.6   16.1   33.1  00:05     91
 28   20.2   30.2  15:00   16.1  03:45    0.0    1.9   22.4   13.6   55.8  17:35     32
---------------------------------------------------------------------------------------
      20.2   35.2     01   13.5     03    8.0   60.6   78.0   14.8   63.7     01    150
    
