                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2011


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   19.9   22.9  15:05   17.7  04:55    0.0    1.6   13.9   16.7   29.5  14:30     63
 02   20.5   27.6  12:25   16.9  22:45    0.0    2.2    6.0   16.9   27.7  14:20    252
 03   17.0   18.6  13:25   16.0  05:45    1.4    0.0    0.0   18.4   28.4  23:50    143
 04   18.4   22.9  14:05   15.8  02:55    0.0    0.0    0.0   28.7   37.8  09:20    102
 05   19.3   23.7  11:00   17.9  03:25    0.0    1.0    0.0   21.8   28.4  22:10    110
 06   21.4   27.7  14:10   17.4  23:45    0.0    3.1    0.0   26.6   37.8  15:15     98
 07   23.7   32.8  14:30   16.2  05:05    0.0    5.4    0.0   16.0   29.5  16:45     77
 08   23.8   30.6  13:40   16.7  23:20    0.0    5.5    0.0    8.5   23.0  14:55    180
 09   19.8   27.1  13:25   14.2  05:25    0.0    1.4    0.0    8.6   27.0  15:55    187
 10   17.3   20.6  14:10   14.8  23:35    1.1    0.0    0.0    7.0   28.4  13:55    210
 11   15.3   17.3  15:15   13.7  06:00    3.0    0.0    7.0   10.6   23.8  16:50    134
 12   19.6   27.2  13:45   14.9  00:05    0.0    1.3    0.0   16.7   37.8  18:10     91
 13   20.3   26.1  15:10   16.6  00:50    0.0    2.0    5.0   13.4   31.3  23:00    231
 14   19.1   25.6  12:40   14.9  22:40    0.0    0.8    0.0   17.5   34.6  14:15    222
 15   19.6   26.0  14:00   14.5  02:30    0.0    1.3    0.1   13.2   28.8  16:40     87
 16   20.7   30.2  10:15   15.7  20:00    0.0    2.4    6.0   18.0   43.2  16:25    211
 17   16.9   21.7  13:50   15.2  08:45    1.4    0.0    4.0   19.7   33.5  20:40    111
 18   23.5   34.4  15:15   15.8  01:40    0.0    5.2    0.0   13.2   31.3  16:40     74
 19   23.9   36.6  12:20   18.2  23:40    0.0    5.6    0.1   15.8   29.2  17:00    212
 20   16.8   22.3  10:55   13.9  22:25    1.6    0.0    8.1   18.9   31.3  11:00    186
 21   18.7   25.8  14:05   14.2  00:05    0.0    0.4   18.8   22.9   38.2  10:20     75
 22   18.9   21.7  09:55   16.0  23:15    0.0    0.5    0.0   17.9   35.3  14:35     18
 23   16.2   18.9  16:05   14.2  05:40    2.1    0.0    0.1   16.1   31.0  00:45     18
 24   18.1   22.2  13:35   15.5  01:30    0.2    0.0    8.9   20.9   34.6  12:35     18
 25   17.3   20.3  15:20   15.8  23:55    1.0    0.0    0.0   24.5   31.7  19:05     18
 26   20.8   30.5  15:25   14.4  05:30    0.0    2.4    0.0   16.1   35.6  23:55    281
 27   17.3   21.6  14:45   11.7  23:20    1.1    0.0    0.0   17.8   37.1  00:10    200
 28   17.9   26.8  14:25   10.8  04:45    0.5    0.0    0.0   13.9   29.2  17:05    105
 29   21.6   28.9  15:00   13.8  04:00    0.0    3.3    0.0   15.8   28.1  07:55     83
 30   21.9   27.0  11:50   17.6  23:30    0.0    3.6    0.0   15.5   29.2  15:35    209
 31   20.0   24.4  15:00   17.5  00:05    0.0    1.7    0.0   13.3   24.1  16:45    161
---------------------------------------------------------------------------------------
      19.5   36.6     19   10.8     28   13.3   50.7   77.9   16.8   43.2     16    107
    
