                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2017


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.8   29.4  13:25   15.0  03:05    0.0    2.5    0.0   15.2   28.4  18:00    147
 02   23.3   37.8  11:15   18.7  23:30    0.0    5.0    1.0   16.3   34.6  18:35    251
 03   15.5   18.9  01:45   14.0  23:45    2.8    0.0   23.1   16.3   31.3  11:15    192
 04   16.8   22.0  16:10   12.8  03:00    1.6    0.0    1.4   16.9   32.4  20:55     99
 05   20.2   28.6  15:55   15.8  00:20    0.0    1.8    0.2   21.6   43.9  13:30    330
 06   16.7   19.7  12:35   14.2  19:50    1.6    0.0    5.4   16.9   31.0  01:00    157
 07   16.2   19.6  11:45   13.1  23:35    2.2    0.0    1.9   13.1   21.6  13:10    126
 08   18.7   26.3  13:50   11.7  03:40    0.0    0.3    0.0   13.5   25.9  15:00     87
 09   19.7   26.3  10:30   13.3  05:05    0.0    1.4    0.0   17.0   33.8  17:20    205
 10   16.9   20.4  15:10   15.1  08:20    1.5    0.0    0.0   20.4   35.3  21:30    107
 11   22.7   31.9  16:05   16.7  00:05    0.0    4.3    0.0   17.6   36.7  18:50    354
 12   19.5   23.8  00:05   15.5  23:10    0.0    1.1    0.0   20.0   34.6  12:35    210
 13   15.5   18.5  11:25   13.6  22:40    2.8    0.0    0.2   13.4   22.3  14:20    143
 14   17.2   24.0  15:20   13.5  02:40    1.2    0.0    3.8   11.9   26.3  17:05    103
 15   18.5   24.7  12:30   15.3  00:00    0.0    0.2    0.0   16.6   34.6  14:40    192
 16   14.9   19.5  12:30   11.1  23:55    3.4    0.0    0.0   18.0   26.6  08:45    161
 17   16.0   22.9  14:00    9.8  04:00    2.3    0.0    0.0   20.4   35.6  19:40     84
 18   23.8   36.4  16:15   11.8  05:25    0.0    5.5    0.0   17.9   31.7  23:25     40
 19   19.1   24.0  12:45   15.2  19:30    0.0    0.8    0.0   21.7   34.9  07:15    206
 20   16.3   22.9  13:05   12.6  23:25    2.1    0.0    0.0   19.7   34.2  16:25    211
 21   17.6   24.8  12:25    9.4  05:10    0.7    0.0    0.0   15.7   32.8  17:05    109
 22   25.7   38.7  14:45   14.0  03:45    0.0    7.3    0.2   11.9   25.6  13:45     51
 23   23.4   28.8  13:45   19.7  23:50    0.0    5.1    4.8   11.7   25.2  14:30    185
 24   22.5   31.4  11:15   15.8  00:00    0.0    4.1    0.0   20.8   41.4  10:40    261
 25   16.9   22.4  10:55   13.4  23:55    1.5    0.0    0.0   24.7   37.1  12:50    229
 26   18.4   26.1  13:50   11.9  05:45    0.0    0.0    0.1   16.4   34.9  22:45     81
 27   18.9   29.5  12:05   11.6  19:55    0.0    0.6    3.4   18.4   42.1  18:15    148
 28   17.6   24.4  14:30   12.8  04:40    0.7    0.0    0.0   31.0   50.8  08:45    262
 29   18.9   27.9  14:45   13.2  03:45    0.0    0.6    0.0   15.1   28.4  17:00    176
 30   18.6   23.4  12:10   15.1  05:45    0.0    0.2    0.0   14.6   30.2  16:20    184
 31   18.1   25.1  13:30   15.5  03:00    0.3    0.0    0.2   15.0   29.9  14:45    140
---------------------------------------------------------------------------------------
      18.9   38.7     22    9.4     21   24.6   40.8   45.7   17.4   50.8     28    166
    
