                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2019


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.6   18.6  16:35   15.3  05:05    1.7    0.0    2.0   22.6   36.4  22:35    114
 02   20.6   29.4  13:50   15.8  00:15    0.0    2.3   10.0   25.7   36.7  08:00     90
 03   19.7   26.6  09:45   15.9  23:55    0.0    1.4    9.5   15.1   31.0  03:50    262
 04   17.2   20.7  10:00   15.2  23:55    1.1    0.0    3.0   21.2   38.5  12:55    242
 05   19.2   27.0  14:40   13.3  06:00    0.0    0.9    0.0    9.3   22.3  18:25    163
 06   19.3   25.4  13:55   14.5  05:55    0.0    1.0    0.0   13.1   27.4  16:05    149
 07   19.3   24.4  14:50   16.1  02:35    0.0    1.0    1.0   21.7   36.4  12:35     97
 08   22.2   34.3  10:50   16.3  05:15    0.0    3.9    0.0   18.5   35.3  20:40    233
 09   20.9   28.3  14:10   16.9  06:05    0.0    2.6    0.0   12.5   24.8  15:55    111
 10   21.7   27.7  15:25   19.3  00:50    0.0    3.4    0.0   12.4   27.4  18:10    109
 11   17.6   19.7  00:05   14.9  23:30    0.7    0.0    3.0   17.5   37.8  14:55    107
 12   17.7   22.9  13:55   14.4  01:40    0.6    0.0    0.0   15.1   24.5  04:30    147
 13   18.2   23.5  14:30   15.6  04:20    0.1    0.0    0.0   15.2   26.6  16:20    190
 14   20.2   26.2  13:40   16.3  04:40    0.0    1.9    0.0   13.0   28.1  15:20    115
 15   21.8   32.4  15:50   14.6  04:15    0.0    3.5    0.0   12.4   27.4  13:45    285
 16   21.2   28.3  12:55   17.3  02:15    0.0    2.8    0.0   12.8   26.3  16:20    205
 17   19.6   25.3  13:30   15.4  05:00    0.0    1.3    0.0   13.4   24.5  17:15    175
 18   20.0   27.3  14:05   15.1  04:55    0.0    1.6    0.0   15.8   31.0  18:10    116
 19   21.4   29.5  14:30   14.5  06:10    0.0    3.1    0.0   15.8   32.8  20:35     94
 20   21.4   27.2  11:20   17.5  00:00    0.0    3.0    0.0   22.3   43.2  10:40    230
 21   18.2   23.1  16:35   14.5  06:05    0.1    0.0    0.0   13.7   26.6  23:20    145
 22   19.2   24.3  12:25   16.3  23:55    0.0    0.9    0.0   20.8   33.1  09:10     95
 23   20.4   28.8  14:15   14.0  05:40    0.0    2.0    0.0   11.2   28.4  15:45    219
 24   20.2   26.8  13:35   15.5  22:35    0.0    1.8    0.0   14.5   32.0  15:00    218
 25   20.9   29.6  13:40   13.7  05:30    0.0    2.5    0.0   12.0   27.7  17:55    116
 26   19.6   25.0  12:25   14.0  23:35    0.0    1.2    0.0   27.3   48.2  16:35    224
 27   15.8   22.2  14:15   12.2  23:50    2.6    0.0    0.0   19.8   29.9  08:10    234
 28   17.7   26.4  13:25   10.0  06:10    0.6    0.0    0.0   19.8   37.4  18:55    247
---------------------------------------------------------------------------------------
      19.6   34.3     08   10.0     28    7.6   42.2   28.5   16.6   48.2     26    162
    
