                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2015


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.5   25.9  11:05   16.2  00:00    0.0    2.2    1.5   13.5   29.5  16:05    197
 02   17.6   23.5  14:25   14.6  23:25    0.8    0.0    0.2    9.4   22.3  15:30    170
 03   15.7   20.4  13:40   13.6  01:50    2.6    0.0    5.3   11.6   20.2  16:40    204
 04   14.1   17.0  11:00   12.5  21:10    4.3    0.0    1.7   12.1   31.0  22:15    208
 05   13.3   14.2  03:25   12.2  23:55    5.0    0.0   53.3   20.4   41.0  09:05    161
 06   13.7   16.6  11:50   11.6  03:25    4.7    0.0    0.0   15.9   25.2  15:55    105
 07   14.2   17.5  14:30   12.1  02:30    4.2    0.0    0.0   19.1   28.1  10:40     93
 08   15.3   21.4  14:55   11.4  05:40    3.0    0.0    0.0   11.9   20.5  21:35     88
 09   16.6   22.7  15:00   11.1  03:25    1.7    0.0    0.0   11.8   23.4  19:10     74
 10   19.4   28.2  15:15   12.0  05:10    0.0    1.1    0.0   11.2   20.9  12:15    312
 11   19.3   26.3  13:10   13.4  23:55    0.0    1.0    0.0   11.5   22.3  12:05    252
 12   19.4   27.3  13:50   12.7  03:10    0.0    1.1    0.0    7.7   15.1  20:50     18
 13   23.2   31.0  14:40   14.4  00:00    0.0    4.8    0.0   12.2   26.6  15:15    294
 14   13.4   16.3  09:20    9.5  23:15    4.9    0.0    0.0   20.8   30.6  16:45    233
 15   10.0   15.3  12:10    5.5  23:35    8.3    0.0    0.0   19.4   37.4  11:15    274
 16    8.6   13.0  13:25    5.4  02:30    9.7    0.0    0.5   20.3   36.7  15:15    283
 17   11.2   14.4  12:50    8.4  04:35    7.1    0.0   15.5   14.1   27.4  16:20    198
 18   12.8   15.4  11:05   11.2  05:25    5.6    0.0    0.0    9.4   22.0  01:50    143
 19   12.5   18.2  15:55    8.7  06:30    5.8    0.0    0.0    7.3   16.2  11:15     48
 20   13.5   19.4  13:40    9.8  07:50    4.8    0.0    0.0   11.4   23.0  17:10    247
 21   12.2   14.6  11:45    9.6  05:05    6.1    0.0    0.0   13.5   22.7  15:20    175
 22   15.3   24.3  13:35    9.1  05:00    3.0    0.0    0.3   14.5   29.9  19:30    261
 23   14.4   18.0  15:25   12.4  06:30    3.9    0.0    8.7   15.3   26.6  22:45    139
 24   16.8   22.9  14:35   13.3  05:20    1.6    0.0    0.0   15.9   25.2  02:35     78
 25   19.3   27.8  14:10   12.3  04:10    0.0    0.9    0.0   11.5   21.2  10:25    276
 26   15.2   20.1  12:45   11.6  23:45    3.2    0.0    0.0   18.6   34.6  05:40    223
 27   14.2   20.0  14:10   10.5  23:40    4.1    0.0    0.0   10.0   18.7  15:30    260
 28   15.3   22.9  14:50    9.1  04:25    3.0    0.0    0.0    8.1   15.5  17:55    342
 29   13.6   16.5  14:35    8.9  00:00    4.7    0.0    0.0   17.0   33.1  15:25    223
 30   12.2   15.8  10:45    8.4  00:35    6.2    0.0    0.0   20.8   38.5  10:35    273
---------------------------------------------------------------------------------------
      15.1   31.0     13    5.4     16  108.3   11.1   87.0   13.9   41.0     05    221
    
