                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2014


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.9   15.5  11:15   11.9  04:15    5.4    0.0    0.0   14.8   27.0  22:15    122
 02   17.0   25.4  15:25   12.1  05:35    1.4    0.0    0.0   11.9   25.6  14:00      4
 03   17.3   29.0  14:25    8.8  04:55    1.1    0.0    0.0   15.6   45.7  13:15    330
 04   14.9   20.9  13:55   11.0  23:55    3.5    0.0    0.0   12.9   31.0  18:40     87
 05   11.8   17.4  14:25    7.9  06:40    6.6    0.0    0.0   12.7   25.2  13:55    273
 06   10.5   17.4  14:05    3.8  06:05    7.8    0.0    0.0    9.6   18.4  17:40    269
 07   11.9   16.6  12:40    7.5  00:30    6.4    0.0    0.0   13.4   24.5  14:35    132
 08   15.3   20.4  14:15   12.1  07:25    3.1    0.0    0.4   14.8   26.6  01:05     91
 09   15.6   20.8  11:30   10.9  07:00    2.8    0.0   13.6   11.9   23.4  17:15    261
 10   14.0   14.8  00:05   13.1  07:45    4.3    0.0    0.0   17.6   31.3  20:40    121
 11   16.5   22.4  12:50   13.4  07:10    1.9    0.0    0.0   18.5   32.8  03:30     71
 12   18.8   26.1  14:05   11.4  06:50    0.0    0.5    0.0   15.9   29.5  22:00    356
 13   18.7   29.0  14:15   11.1  23:40    0.0    0.4    0.0   16.8   38.9  14:55    315
 14   12.6   19.0  14:45    8.0  02:50    5.8    0.0    0.0   16.1   28.8  11:30    275
 15   12.1   15.7  14:30   10.1  05:25    6.2    0.0    0.0   12.3   20.2  08:50    191
 16   14.4   19.9  14:50   10.0  02:50    3.9    0.0    0.0   12.4   25.6  11:15     97
 17   18.6   26.6  13:20   11.6  00:40    0.0    0.3    0.0   13.4   41.8  19:05    355
 18   19.0   26.6  14:35   13.6  21:55    0.0    0.6    0.0   17.2   38.2  13:35    312
 19   15.5   24.1  10:40    9.9  22:40    2.9    0.0    0.0   14.0   29.9  10:00    241
 20   11.2   15.6  16:00    7.3  03:20    7.1    0.0    0.0   11.6   52.6  14:25    315
 21   10.5   18.2  14:20    4.4  06:40    7.8    0.0    0.0   11.3   28.8  15:55    284
 22   10.5   15.8  13:45    6.6  01:25    7.8    0.0    0.0   33.2   48.6  05:50    282
 23   10.2   14.3  14:55    8.1  23:40    8.2    0.0    0.1   29.2   45.4  00:40    279
 24    9.0   11.5  13:50    7.6  09:40    9.3    0.0    2.9   15.8   25.6  00:40    275
 25   13.1   22.4  15:05    5.1  03:15    5.2    0.0    0.0   10.8   20.9  10:05    354
 26   13.8   19.2  14:25   11.0  19:35    4.6    0.0    0.0   18.0   32.8  04:15    182
 27   13.7   23.1  14:15    7.3  06:20    4.6    0.0    0.0   18.7   38.9  11:20    254
 28    9.3   18.1  13:55    3.4  19:40    9.0    0.0    0.0   24.2   51.5  18:25    268
 29    5.7   10.2  14:45    2.1  05:35   12.6    0.0    0.3   29.4   51.8  01:40    259
 30    8.8   13.5  13:35    5.9  03:20    9.5    0.0   11.7   14.6   24.8  00:20    215
 31   11.5   17.9  14:20    6.4  03:05    6.8    0.0    0.0   16.4   33.5  23:45     84
---------------------------------------------------------------------------------------
      13.4   29.0     03    2.1     29  155.4    1.7   29.0   16.3   52.6     20    279
    
