                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2019


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.7   21.1  15:15    4.3  05:35    6.6    0.0    0.0   18.3   33.8  13:35    263
 02   13.3   20.3  14:20    8.8  22:45    5.0    0.0    0.0   15.8   29.5  16:25    234
 03   15.1   28.2  14:35    5.7  06:15    3.2    0.0    0.0   16.7   39.6  14:30    273
 04   12.2   18.4  14:10    8.9  00:05    6.2    0.0    5.0   15.0   27.0  15:10    216
 05    9.7   11.5  15:25    8.0  21:00    8.7    0.0    2.5   14.7   23.4  14:50    156
 06   11.4   17.3  14:05    6.7  05:55    6.9    0.0    0.0   22.8   39.6  09:40     87
 07   17.8   28.7  15:35    7.4  05:15    0.5    0.0    0.0   14.2   27.4  17:25      9
 08   24.3   31.7  15:40   16.5  00:30    0.0    6.0    0.0   17.6   29.9  10:00    337
 09   22.3   32.0  13:35   13.9  00:00    0.0    4.0    0.0   16.1   28.1  10:25    308
 10   22.2   32.4  14:10   12.7  07:05    0.0    3.9    0.0   10.8   20.9  16:35    126
 11   16.8   26.0  13:45   14.2  02:05    1.5    0.0    0.0   16.1   29.5  15:55    188
 12   15.9   20.1  15:05   11.1  00:00    2.4    0.0    1.5   13.8   28.8  18:20    200
 13   11.3   17.1  14:15    8.3  06:50    7.0    0.0    0.0   21.2   36.7  13:55    253
 14   10.7   14.2  13:50    6.4  06:30    7.7    0.0    0.0   13.0   22.0  00:10    152
 15   15.8   24.9  16:00    7.3  06:20    2.5    0.0    0.0   12.6   29.9  13:00    318
 16   18.7   26.8  12:45   12.9  23:55    0.0    0.3    0.0   12.1   28.8  16:20    199
 17   16.6   25.0  14:35   11.0  06:40    1.8    0.0    0.0   12.2   26.6  18:00    120
 18   16.8   23.1  13:50   12.6  06:05    1.5    0.0    0.0   17.9   34.2  23:45    104
 19   19.2   28.1  15:10   14.4  06:00    0.0    0.9    0.0   19.0   35.6  09:35     76
 20   22.4   35.8  11:55   14.0  23:50    0.0    4.0    0.0   18.8   32.0  15:20    245
 21   15.2   20.4  13:25   12.2  22:00    3.1    0.0    0.0   13.0   25.6  16:10    192
 22    9.9   12.6  00:15    6.4  23:00    8.4    0.0    2.8   23.4   43.6  17:50    248
 23    9.5   15.2  14:10    6.1  02:20    8.8    0.0    0.0   16.9   31.3  13:10    252
 24   10.2   15.8  11:35    5.4  23:05    8.1    0.0    1.8   15.7   33.1  14:00    219
 25   11.6   19.8  15:10    5.3  04:00    6.7    0.0    0.0   20.7   34.9  11:45     85
 26   18.6   30.0  16:10    5.7  04:40    0.0    0.3    0.0   13.0   28.1  10:05    340
 27   23.9   32.8  13:55   15.1  03:50    0.0    5.6    0.0   14.5   29.5  11:35    297
 28   17.9   25.9  14:10   12.1  05:20    0.4    0.0    0.0   13.1   26.3  15:40    157
 29   15.6   21.9  13:40   11.3  21:15    2.7    0.0    9.0   17.5   41.4  20:40    229
 30   11.7   16.9  13:35    9.3  23:55    6.6    0.0    4.0   21.6   39.6  03:25    233
---------------------------------------------------------------------------------------
      15.6   35.8     20    4.3     01  106.4   25.0   26.6   16.3   43.6     22    221
    
