                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2013


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.7   15.6  14:55    5.3  06:20    8.7    0.0    0.0   25.7   45.0  09:50    290
 02   13.5   24.1  14:55    3.6  04:55    4.8    0.0    0.0   12.2   26.3  10:50    352
 03   12.2   17.8  13:05    6.9  00:00    6.1    0.0    0.0   20.7   39.6  15:40    236
 04   10.3   19.5  15:10    4.5  04:30    8.0    0.0    0.0   11.4   23.4  16:10    272
 05   12.0   21.6  14:35    4.5  05:10    6.4    0.0    0.0   13.4   29.2  13:10    297
 06   13.0   20.1  12:35    6.5  03:55    5.4    0.0    0.0   12.4   23.4  15:40    240
 07   19.3   29.7  14:40    9.3  05:50    0.0    1.0    0.0   15.2   32.4  12:15    314
 08   13.5   18.2  12:40   10.5  23:25    4.9    0.0    0.0   21.8   34.6  02:15    233
 09   10.5   14.7  11:30    7.9  20:05    7.9    0.0    0.0   22.4   36.7  06:10    229
 10    9.4   13.3  13:30    6.3  06:25    8.9    0.0    0.0   17.5   29.9  10:35    231
 11    8.7   13.0  12:35    5.2  23:50    9.7    0.0    0.0   17.1   29.5  00:25    240
 12   10.2   17.9  14:45    3.8  05:20    8.1    0.0    0.0   10.5   23.0  15:50    115
 13   14.4   23.3  15:00    9.9  00:25    3.9    0.0    0.0    8.7   20.2  17:05    109
 14   13.1   21.4  12:50    8.0  22:30    5.2    0.0    0.0   23.0   51.1  11:55    282
 15   14.8   26.0  12:55    7.0  03:55    3.5    0.0    0.0   24.8   59.0  14:40    293
 16   12.6   20.8  12:30    5.6  05:15    5.7    0.0    0.0   14.9   36.0  10:20    243
 17   15.9   26.1  14:40    7.1  04:25    2.5    0.0    0.0   16.4   34.9  13:05    272
 18   14.6   21.3  13:05    9.8  05:50    3.8    0.0    0.0   11.2   25.9  15:40    140
 19   17.9   29.8  12:40   11.6  06:40    0.5    0.0    0.0   15.6   32.0  16:30    206
 20   10.0   15.2  14:50    5.9  23:55    8.4    0.0    0.0   21.5   39.6  14:05    247
 21    8.6   15.6  15:10    2.2  03:55    9.7    0.0    0.0   19.3   41.8  08:30    276
 22   11.8   21.4  15:30    4.0  02:40    6.6    0.0    0.0   10.4   25.2  16:35     74
 23   18.2   29.9  14:25    6.5  04:45    0.2    0.0    0.0   20.3   41.0  11:25    301
 24   12.8   20.2  13:10    9.6  05:40    5.5    0.0    0.0   18.1   34.9  15:25    224
 25   13.8   24.4  12:55    6.9  06:05    4.5    0.0    0.0   12.7   26.6  17:05    240
 26   15.2   25.4  15:15    6.9  06:10    3.1    0.0    0.0   11.7   23.8  13:05    291
 27   14.9   22.9  11:05    7.6  23:35    3.4    0.0    0.0   34.8   60.5  09:55    266
 28    9.7   16.1  14:00    4.8  05:15    8.6    0.0    0.0   26.9   50.0  08:20    269
 29    9.8   16.4  12:10    4.3  05:00    8.5    0.0    0.0   16.6   27.0  07:50    249
 30   13.8   23.2  14:50    6.6  02:10    4.5    0.0    0.0   16.1   28.1  08:10     74
---------------------------------------------------------------------------------------
      12.8   29.9     23    2.2     21  167.0    1.0    0.0   17.4   60.5     27    259
    
