                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2012


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.2   16.2  13:35    7.5  22:30    7.2    0.0    0.0   14.3   28.1  16:30    130
 02   12.1   19.2  14:05    6.8  05:15    6.2    0.0    0.0   22.6   32.8  08:20    100
 03   15.2   23.2  15:00    8.9  05:00    3.2    0.0    0.0   17.0   32.8  03:05     91
 04   17.7   24.5  14:10   12.5  04:00    0.7    0.0    0.0   13.0   25.9  15:00    128
 05   18.7   25.5  13:55   15.0  02:35    0.0    0.4    0.0   12.7   23.0  15:30    101
 06   15.7   20.0  12:35   12.8  05:45    2.7    0.0    0.0   14.7   30.2  12:05    217
 07   14.9   19.5  14:10   11.7  21:20    3.5    0.0    0.0   17.2   32.4  14:15    207
 08   13.1   18.1  12:30    9.8  02:55    5.2    0.0    0.0   18.8   29.5  22:45    130
 09   16.9   26.8  14:25    9.4  05:30    1.4    0.0    0.0   16.6   33.8  17:40    262
 10   17.3   24.7  13:05   11.5  00:15    1.0    0.0    0.0   14.2   28.1  22:55    134
 11   23.3   36.8  15:50   12.4  05:00    0.0    5.0    0.0   19.5   46.1  22:55    291
 12   16.5   22.3  13:45   12.0  05:00    1.8    0.0    0.0   17.3   35.3  01:50    198
 13   15.3   18.6  13:30   12.8  21:50    3.0    0.0    0.2   15.5   31.7  09:15    162
 14   16.9   24.0  12:55   11.5  03:50    1.5    0.0    8.8   16.1   28.4  15:10     99
 15   20.0   32.4  12:45   10.8  05:05    0.0    1.7    0.0   13.1   29.2  21:35    255
 16   15.9   20.5  11:55   10.8  23:45    2.4    0.0    0.0   18.1   37.1  03:25    219
 17   15.2   21.4  10:30   10.8  01:05    3.1    0.0    0.0   19.9   37.8  10:20    231
 18   16.4   24.3  14:40   11.5  01:55    1.9    0.0    0.0   14.8   27.4  07:10    106
 19   18.1   26.5  13:50   10.7  04:45    0.2    0.0    0.0   10.7   25.9  16:35    217
 20   19.0   29.6  14:05   10.5  03:15    0.0    0.7    0.0   13.8   33.1  16:35    212
 21   13.2   15.3  14:40   11.9  23:50    5.1    0.0    0.0   16.7   27.7  08:40    217
 22   16.6   24.6  15:20   11.2  00:45    1.7    0.0    0.0   13.1   29.2  17:15    122
 23   18.3   25.4  13:30   10.3  03:35    0.0    0.0    0.0    9.5   21.2  16:55    146
 24   15.2   22.7  11:45    8.0  22:25    3.1    0.0    0.0   20.3   46.1  20:05    230
 25   11.6   18.5  13:40    6.8  05:00    6.7    0.0    0.0   23.0   36.0  08:40    258
 26   13.8   20.9  12:45    7.7  05:35    4.5    0.0    0.0   19.7   37.4  15:45    245
 27   14.7   22.3  13:45    9.1  05:00    3.7    0.0    0.0   14.2   28.1  16:25    129
 28   18.8   29.0  14:40    8.8  05:10    0.0    0.4    0.0   14.3   27.4  19:55    136
 29   15.3   18.4  12:05   13.2  21:35    3.0    0.0    0.3   15.8   29.5  17:50    160
 30   12.9   13.8  00:35   12.2  11:10    5.5    0.0   13.8   21.3   32.0  23:35    127
---------------------------------------------------------------------------------------
      16.0   36.8     11    6.8     02   78.4    8.2   23.1   16.3   46.1     11    169
    
