                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2009


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.4   25.9  15:15   12.7  05:30    0.0    0.0    0.0   11.9   23.8  15:50    123
 02   20.1   26.5  15:30   14.7  23:35    0.0    1.7    0.0   11.0   23.8  15:25    167
 03   17.6   24.2  13:05   13.5  23:55    0.8    0.0    0.0   13.4   28.1  10:00    243
 04   15.9   21.2  13:55   11.8  05:45    2.4    0.0    0.0   13.6   25.9  15:45    162
 05   18.4   25.1  13:05   13.8  00:10    0.0    0.0    0.0   18.9   31.0  23:40    123
 06   21.6   29.3  12:50   16.3  05:35    0.0    3.3    0.0   19.4   29.9  01:20    109
 07   23.2   33.2  13:50   17.0  02:55    0.0    4.9    0.0   16.3   29.2  14:45    109
 08   22.9   31.5  17:00   16.1  05:20    0.0    4.5    0.1    9.9   23.4  19:10     49
 09   19.0   22.0  07:20   16.5  23:50    0.0    0.7   17.9    6.6   15.5  09:20    224
 10   18.3   23.3  14:20   15.3  05:30    0.0    0.0    0.0   12.3   28.4  16:50    156
 11   16.5   18.8  14:40   15.4  23:30    1.8    0.0   10.0   15.0   33.1  00:00    125
 12   20.0   28.1  15:40   14.6  06:05    0.0    1.7    0.0   23.7   38.9  08:50     90
 13   23.0   32.2  13:30   16.4  23:55    0.0    4.6    0.1   16.8   48.2  15:55    312
 14   15.7   18.5  11:35   12.8  21:35    2.7    0.0   20.0    6.8   18.7  20:20    229
 15   14.3   18.6  13:15   12.7  20:50    4.1    0.0   29.9   12.7   26.3  20:00    253
 16   15.9   20.2  14:45   12.5  00:00    2.5    0.0    0.0   10.6   25.6  01:30    200
 17   18.7   27.7  15:45   11.7  05:55    0.0    0.4    0.0    9.6   20.5  17:00     79
 18   25.4   36.0  15:05   17.6  00:15    0.0    7.0    0.0   10.4   28.4  11:55    321
 19   18.5   21.0  13:10   15.5  06:30    0.0    0.1    0.0   10.7   26.6  14:00    206
 20   22.4   30.8  14:50   16.5  04:35    0.0    4.1    0.0   13.6   24.8  16:05     88
 21   22.2   30.2  13:15   15.7  23:15    0.0    3.9    0.0   14.6   35.6  11:05    288
 22   16.0   17.7  11:25   13.8  23:30    2.3    0.0    0.0    9.9   17.6  07:35    235
 23   17.1   23.3  14:00   11.4  04:50    1.3    0.0    0.1   14.9   27.4  20:35    115
 24   22.1   32.3  14:00   15.0  01:50    0.0    3.8   25.9   14.0   36.0  18:45      0
 25   22.1   26.7  16:20   19.4  01:50    0.0    3.8    0.0   10.7   20.2  15:45    314
 26   22.3   29.2  13:25   16.7  05:50    0.0    4.0    0.1    9.7   21.6  18:00    144
 27   21.5   28.2  13:35   16.4  05:55    0.0    3.2   21.9   12.8   25.6  20:55    128
 28   19.6   24.9  14:30   16.7  04:25    0.0    1.2    7.0   12.5   24.1  15:50    168
---------------------------------------------------------------------------------------
      19.6   36.0     18   11.4     23   17.8   52.9  133.0   12.9   48.2     13    144
    
