                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2011


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.1   23.1  13:45   15.7  23:50    0.2    0.0    9.9   11.3   24.1  20:15    170
 02   16.2   20.7  13:40   13.5  23:40    2.1    0.0    0.0   15.4   25.2  15:25    239
 03   15.5   20.8  13:20   12.6  23:05    2.8    0.0    0.0   19.2   29.9  22:05    239
 04   13.7   17.4  11:20    9.7  04:25    4.6    0.0    0.0   14.7   29.2  08:40    251
 05   15.6   22.2  14:00   10.0  06:05    2.7    0.0    0.0   14.0   35.3  20:00     86
 06   20.5   28.3  14:40   14.5  04:05    0.0    2.2    0.1   18.3   33.5  09:25    303
 07   13.6   16.6  00:05   10.9  21:30    4.7    0.0    5.0   19.8   31.7  10:15    187
 08   15.9   22.9  14:25    9.4  06:15    2.5    0.0    0.0   15.0   29.5  08:30     74
 09   20.8   29.6  13:50   13.2  03:30    0.0    2.5    0.0   12.2   23.0  10:55    290
 10   19.0   26.0  14:05   13.7  06:45    0.0    0.7    0.0    8.7   20.2  16:25    152
 11   19.8   25.6  11:25   14.3  06:25    0.0    1.5    0.1    8.0   17.3  14:05     76
 12   19.6   24.7  10:40   16.0  01:55    0.0    1.2   13.9   12.7   29.9  14:55    320
 13   17.2   20.4  14:15   14.7  22:55    1.1    0.0    0.1   16.6   28.1  17:05    240
 14   15.7   18.0  11:35   13.9  00:00    2.7    0.0    8.9   10.9   18.7  15:05    216
 15   14.3   18.9  12:55   11.9  21:30    4.0    0.0    0.3   11.5   24.5  17:10    168
 16   14.1   19.1  12:05   11.8  22:55    4.3    0.0   29.7   17.4   30.6  21:10    170
 17   12.8   16.7  14:20   10.5  06:20    5.5    0.0    0.0   16.0   28.8  23:00    114
 18   15.1   22.1  15:00    9.6  06:35    3.3    0.0    0.0   11.8   26.6  00:10     73
 19   18.6   25.5  14:30   12.3  06:20    0.0    0.2    0.0   10.6   21.6  21:40    358
 20   17.7   26.7  13:20   11.6  00:00    0.7    0.0    0.1   19.4   37.1  09:25    283
 21   12.3   16.6  13:05    8.6  05:55    6.0    0.0    9.9   23.7   43.6  10:55    265
 22   12.3   18.1  15:00    6.2  05:00    6.0    0.0    0.0   13.1   24.5  21:00    104
 23   15.5   23.7  13:40    8.0  05:00    2.8    0.0    0.0   12.6   23.0  14:40    343
 24   17.2   24.9  12:30   12.5  21:40    1.1    0.0    0.0   13.0   22.3  10:30    274
 25   13.8   18.0  11:25   10.6  19:05    4.6    0.0    0.0    9.3   27.4  15:30    194
 26   12.1   18.9  13:15    6.9  22:50    6.2    0.0    0.0   19.2   45.4  14:00    282
 27    9.2   13.3  15:35    6.3  02:20    9.2    0.0    0.0   26.8   45.0  12:45    297
 28    9.8   14.9  14:45    6.1  20:25    8.5    0.0    0.0   24.9   41.8  00:55    293
 29   11.0   19.1  14:25    2.9  05:40    7.3    0.0    0.0   21.7   47.5  13:00    281
 30   12.5   17.8  14:40    9.0  06:20    5.9    0.0    0.0   13.0   30.2  00:10    233
---------------------------------------------------------------------------------------
      15.3   29.6     09    2.9     29   98.7    8.3   77.9   15.4   47.5     29    259
    
