                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2013


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.0   15.6  13:30   13.1  21:20    4.3    0.0    5.9   14.8   22.3  08:00    155
 02   19.7   28.1  14:50   13.1  05:40    0.0    1.4    0.0   15.6   33.5  06:55     99
 03   17.4   27.1  12:05   12.5  23:30    0.9    0.0    0.0   25.4   56.9  17:30    234
 04   15.3   21.0  14:45   11.6  23:30    3.0    0.0    0.0   23.0   35.6  15:00    248
 05   17.2   24.1  14:20    9.3  04:50    1.1    0.0    0.0   14.5   27.0  17:45    133
 06   19.0   25.1  11:55   13.5  05:20    0.0    0.7    0.1   18.0   37.4  13:35    220
 07   18.3   21.0  13:25   16.4  03:40    0.1    0.0    6.9   15.4   27.7  15:00    130
 08   18.9   21.9  14:15   16.7  21:25    0.0    0.5    0.0   14.5   29.9  13:00    212
 09   16.5   21.5  16:10   13.8  06:50    1.8    0.0    0.0   14.7   25.2  20:05    190
 10   14.0   17.5  13:10   12.2  06:25    4.3    0.0    0.0   21.8   34.6  16:35    221
 11   14.1   18.1  10:35   11.1  03:30    4.3    0.0    0.0   14.6   24.1  16:45    182
 12   15.0   17.9  14:00   12.8  01:00    3.3    0.0    0.0   18.8   38.5  21:55    104
 13   22.9   33.3  15:10   14.3  05:25    0.0    4.6    0.0   15.6   31.3  02:10     86
 14   18.9   23.5  11:55   15.5  05:35    0.0    0.5    0.2   23.0   41.4  11:50    216
 15   16.1   17.6  15:20   15.3  08:10    2.2    0.0    7.8   17.2   24.5  16:45    131
 16   20.2   27.9  14:05   15.3  03:50    0.0    1.8    0.0   21.0   30.2  07:05    102
 17   22.5   31.1  11:40   18.5  02:25    0.0    4.1    0.0   13.9   29.9  16:45    243
 18   19.3   23.4  11:50   16.5  23:40    0.0    1.0    0.0   18.0   31.7  16:00    213
 19   18.4   23.5  16:05   15.6  02:45    0.0    0.0    0.0   15.5   25.2  15:25    132
 20   20.6   28.5  14:15   14.9  05:25    0.0    2.3    0.0   13.6   23.4  16:50    139
 21   19.0   25.3  14:45   14.0  22:40    0.0    0.7    0.0   14.6   32.8  15:30    227
 22   20.4   30.9  14:20   13.0  05:45    0.0    2.1    0.0   11.5   25.2  15:10    204
 23   21.0   29.0  12:45   13.9  04:30    0.0    2.6    0.0   11.9   29.5  17:10    150
 24   19.4   24.3  14:45   15.6  21:35    0.0    1.1    0.0   14.1   28.8  15:45    204
 25   17.2   23.1  12:25   13.4  02:25    1.2    0.0    0.0   17.3   32.8  12:55    222
 26   18.1   25.2  13:05   13.8  05:30    0.2    0.0    0.0   12.1   29.5  16:00    145
 27   18.2   24.8  14:00   13.5  04:40    0.2    0.0    0.0   13.2   27.7  17:00    200
 28   17.9   23.9  11:00   14.5  05:20    0.5    0.0    0.0   18.0   32.0  15:40    138
 29   19.9   27.6  13:50   14.9  00:05    0.0    1.6    0.1   27.2   42.5  21:35     95
 30   22.1   29.0  13:40   17.1  05:50    0.0    3.8    4.9   14.1   29.9  15:20    231
 31   18.9   22.7  11:50   16.5  00:00    0.0    0.6    0.0   19.9   29.5  11:00    206
---------------------------------------------------------------------------------------
      18.4   33.3     13    9.3     05   27.4   29.5   25.9   16.8   56.9     03    175
    
