                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2009


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.9   16.6  11:25   10.1  23:40    5.5    0.0    0.0   22.1   39.2  08:00    284
 02   12.9   20.3  13:20    7.0  04:30    5.4    0.0    0.0    6.5   18.7  13:35    302
 03   11.5   16.5  13:30    5.9  04:25    6.8    0.0    0.0    9.1   19.8  14:10    297
 04   13.4   19.7  13:45    7.8  02:50    4.9    0.0    0.0   13.5   35.6  12:30    295
 05   13.2   18.4  12:40    7.7  00:30    5.1    0.0    0.0   10.6   24.1  11:45    302
 06   13.1   19.3  12:00    6.1  22:45    5.3    0.0    0.0   17.5   41.4  07:25    290
 07   10.0   14.6  12:45    5.8  01:35    8.4    0.0    0.0   12.3   26.6  10:20    284
 08   11.1   14.8  15:40    8.1  00:40    7.3    0.0    0.0    8.4   15.5  23:25    193
 09   13.1   20.1  14:15    8.5  04:15    5.3    0.0    0.0   13.9   28.4  08:40     80
 10   15.9   23.6  14:50    9.1  03:10    2.5    0.0    0.0   14.3   25.2  13:30    318
 11   16.7   22.4  12:40   12.6  00:00    1.7    0.0    0.0   14.9   37.8  11:00    316
 12   15.0   21.3  14:15   10.4  07:10    3.3    0.0    0.0   10.2   21.2  11:00    250
 13   15.1   24.3  12:20   10.7  07:35    3.2    0.0    0.0   13.1   24.1  11:10    355
 14   13.6   19.5  14:25    7.5  23:35    4.7    0.0    0.0   17.4   40.0  12:25    306
 15   13.4   19.6  14:20    7.3  08:00    4.9    0.0    0.0    9.6   18.0  13:15      7
 16   13.1   20.5  14:05    8.2  23:10    5.2    0.0    0.0   15.1   36.0  13:35    294
 17   11.3   18.6  15:55    6.0  07:20    7.1    0.0    0.0    6.2   12.2  16:45    346
 18   12.0   18.0  14:00    7.4  07:35    6.3    0.0    0.0   10.1   28.8  22:20    109
 19   16.4   24.7  15:10   10.1  04:35    1.9    0.0    0.0   12.9   25.9  13:10     17
 20   18.0   22.3  16:05   14.5  03:00    0.3    0.0    0.0   16.1   34.9  10:30    321
 21   16.3   23.1  14:50   12.3  23:50    2.1    0.0    0.1   13.4   40.3  16:55    336
 22   15.5   22.8  12:30    9.7  23:05    2.8    0.0   15.9   12.3   32.0  11:55    313
 23   12.7   17.8  15:40    7.8  07:05    5.6    0.0    0.0   31.0   51.8  12:30    314
 24   10.1   13.5  14:35    7.3  07:20    8.2    0.0    0.1   33.8   55.8  01:15    299
 25    7.2   12.2  05:40    3.1  20:45   11.1    0.0   15.0   31.7   48.2  06:50    290
 26    6.2   10.0  14:40    2.7  03:15   12.1    0.0    0.0   20.7   32.8  03:00    292
 27    9.2   14.4  13:25    4.8  04:50    9.2    0.0    0.0   17.5   28.8  16:05    295
 28    8.6   11.4  14:10    5.3  23:55    9.7    0.0   13.0   13.3   29.5  05:15    242
 29    7.8   13.4  14:50    3.3  06:20   10.5    0.0    0.0   12.1   24.1  19:40     75
 30   12.6   20.9  14:50    3.5  06:50    5.7    0.0    0.0   16.1   29.5  11:55    327
---------------------------------------------------------------------------------------
      12.6   24.7     19    2.7     26  172.1    0.0   44.0   15.2   55.8     24    309
    
