                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2017


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.6   22.7  12:25    8.7  07:10    3.8    0.0    0.0    9.5   15.8  15:15    170
 02   16.0   25.6  14:00    8.2  06:55    2.3    0.0    0.0    9.8   22.7  14:35    316
 03   20.5   27.2  13:15   15.2  04:25    0.0    2.1    0.0   21.6   43.9  11:35    321
 04   13.1   20.6  00:05   10.0  20:25    5.2    0.0    0.0   16.2   29.5  00:30    212
 05   12.5   18.0  13:25    6.9  06:05    5.8    0.0    0.0    9.6   16.6  01:45     37
 06   18.3   26.3  14:20   10.1  00:20    0.1    0.0    0.0   19.9   46.1  13:20    326
 07   19.5   24.5  12:15   10.6  23:30    0.0    1.2    0.0   38.9   60.5  20:35    303
 08    8.5   12.1  13:35    2.3  21:50    9.8    0.0    0.0   33.4   59.8  05:40    280
 09    8.7   15.0  14:35    0.5  06:45    9.7    0.0    0.0   12.3   25.9  23:55      7
 10   18.4   24.4  14:05   12.0  01:05    0.0    0.1    0.0   27.7   58.3  11:35    323
 11   12.7   17.9  12:45    6.9  20:40    5.6    0.0    0.0   15.7   32.8  11:30    280
 12   14.6   21.7  13:55   10.0  00:00    3.8    0.0    0.0   22.5   41.0  13:50    276
 13   13.1   20.4  14:40    7.3  02:25    5.3    0.0    0.0   13.2   24.1  12:25    257
 14   12.5   17.1  13:55    8.9  04:10    5.8    0.0    0.0   12.6   28.1  18:25    139
 15   11.1   15.5  14:45    5.7  22:20    7.2    0.0    0.0   21.6   42.1  14:00    257
 16   10.8   18.1  14:50    3.1  05:50    7.6    0.0    0.0   13.6   25.2  23:15    333
 17   12.4   17.4  13:35    7.8  23:05    5.9    0.0    0.0   21.9   42.8  16:50    249
 18   10.9   17.2  15:30    3.0  02:10    7.4    0.0    0.0   12.1   24.5  10:05     42
 19   18.1   25.8  14:25    9.6  23:55    0.2    0.0    0.0   26.5   66.2  06:40    322
 20    9.1   12.6  14:45    3.3  23:30    9.2    0.0    0.0   19.9   34.9  06:50    232
 21    9.9   18.1  15:30    2.0  02:40    8.4    0.0    0.0   17.2   39.2  11:20    302
 22   11.4   18.7  13:05    6.9  23:15    6.9    0.0    0.0   28.0   51.5  13:20    268
 23    7.4   12.7  13:50    2.4  03:25   10.9    0.0    0.0   16.2   29.5  06:45    266
 24    7.4   14.7  14:20    2.0  06:20   11.0    0.0    0.0   12.0   25.6  11:50    266
 25    8.3   16.9  13:55    2.5  00:05   10.0    0.0    0.0    8.1   19.4  14:40    244
 26   11.7   21.2  15:15    2.9  00:45    6.6    0.0    0.0   10.8   20.2  12:25    357
 27   17.3   24.2  13:20   10.8  01:20    1.0    0.0    0.0   18.8   33.1  10:35    311
 28   13.0   18.0  13:40    7.2  23:35    5.3    0.0    0.0   20.2   38.5  19:00    248
 29   11.3   18.3  15:10    4.0  03:40    7.0    0.0    0.0   14.6   29.9  23:30    346
 30   16.1   23.2  12:15   10.5  23:40    2.2    0.0    0.0   20.8   45.7  01:35    290
---------------------------------------------------------------------------------------
      13.0   27.2     03    0.5     09  164.2    3.4    0.0   18.2   66.2     19    291
    
