                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2010


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.0   21.7  15:00   15.9  00:15    0.4    0.0    0.0   10.4   20.9  16:20    143
 02   21.0   30.1  13:30   14.2  05:20    0.0    2.7    0.0   10.8   23.4  15:15    258
 03   18.0   23.6  11:40   14.1  05:40    0.3    0.0    0.0   12.4   26.3  16:35    221
 04   13.2   15.0  14:30   11.8  08:25    5.2    0.0    0.0   12.1   18.0  00:45    218
 05   14.6   16.3  15:50   11.9  03:40    3.8    0.0    0.0   14.0   22.3  22:35    124
 06   16.9   24.8  13:25   13.2  00:00    1.4    0.0    0.0   12.5   23.4  16:45    258
 07   16.0   25.9  14:25   11.5  06:15    2.3    0.0    0.0   14.5   25.2  16:15    250
 08   19.3   28.9  15:20   10.9  06:40    0.0    1.0    0.0   10.7   18.4  14:10     14
 09   19.9   32.7  11:30   11.4  20:35    0.0    1.6    0.0   23.4   39.6  09:30    266
 10   12.4   17.3  15:15    9.8  23:55    5.9    0.0    0.0   15.7   23.8  01:20    209
 11   15.2   25.6  15:05    7.9  06:25    3.1    0.0    0.0   11.3   20.5  16:00    338
 12   20.4   29.5  15:40   11.9  01:05    0.0    2.0    0.0    8.8   16.9  09:10     39
 13   26.3   35.8  15:00   17.8  05:40    0.0    8.0    0.0    9.0   16.2  09:45    311
 14   24.5   35.8  13:20   14.8  23:25    0.0    6.1    0.0   12.8   27.4  10:50    303
 15   16.1   19.6  12:00   13.9  04:05    2.3    0.0    0.1   11.0   18.7  13:30    207
 16   14.6   16.3  12:05   14.0  15:45    3.7    0.0   19.0   19.9   31.7  21:10    132
 17   16.5   24.4  12:30   13.2  00:00    1.8    0.0   12.0   12.3   27.4  00:15    340
 18   14.5   20.3  15:00   11.0  06:50    3.8    0.0    5.0   10.5   27.4  22:05    201
 19   13.5   20.2  14:45   10.4  04:40    4.8    0.0    0.0   13.6   26.6  16:45    233
 20   12.6   17.3  13:40    7.7  23:15    5.7    0.0    0.0   14.9   27.7  09:50    255
 21   13.6   21.0  14:55    6.7  00:25    4.7    0.0    0.0   12.3   31.0  11:10    333
 22   11.2   16.9  12:05    6.9  23:45    7.2    0.0    0.0   18.5   38.9  14:30    267
 23    8.4   11.8  13:30    5.7  03:45    9.9    0.0    0.0    9.8   18.0  16:10    255
 24   11.0   16.9  14:35    6.1  06:50    7.4    0.0    0.0   11.0   26.6  23:00    101
 25   15.1   24.0  14:40    6.4  05:30    3.2    0.0    0.0   10.5   27.4  10:10    323
 26   19.8   27.0  15:05   12.0  05:40    0.0    1.5    0.0   10.8   23.0  11:50    336
 27   18.0   25.6  12:30   13.0  05:20    0.3    0.0    0.0   13.6   21.6  16:25    247
 28   17.0   23.0  13:40   14.4  00:05    1.4    0.0    0.1   11.8   23.0  18:00    120
 29   14.4   16.3  13:05   12.1  23:00    3.9    0.0   20.9    9.9   24.1  07:30    149
 30   15.9   23.1  14:25   11.8  01:15    2.4    0.0    0.0    7.9   15.8  11:00    103
---------------------------------------------------------------------------------------
      16.3   35.8     13    5.7     23   84.9   22.9   57.0   12.6   39.6     09    238
    
